link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,macro_node_id,macro_link_id,meso_link_id,cell_type,additional_cost,mvmt_txt_id
27808,12148,12149,,1,7,1,1800,60,,1,,"LINESTRING (-112.1007610 33.6399986, -112.1006855 33.6399991)",,22,21,1,0,
28006,12148,12348,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1007610 33.6399986, -112.1006852 33.6399676)",,22,21,2,0,
28205,12149,11951,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1006855 33.6399991, -112.1006103 33.6400312)",,22,21,2,0,
27809,12149,12150,,1,7,1,1800,60,,1,,"LINESTRING (-112.1006855 33.6399991, -112.1006100 33.6399997)",,22,21,1,0,
28007,12149,12349,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1006855 33.6399991, -112.1006097 33.6399681)",,22,21,2,0,
28206,12150,11952,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1006100 33.6399997, -112.1005349 33.6400317)",,22,21,2,0,
27810,12150,12151,,1,7,1,1800,60,,1,,"LINESTRING (-112.1006100 33.6399997, -112.1005346 33.6400002)",,22,21,1,0,
28008,12150,12350,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1006100 33.6399997, -112.1005343 33.6399686)",,22,21,2,0,
28207,12151,11953,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1005346 33.6400002, -112.1004594 33.6400323)",,22,21,2,0,
27811,12151,12152,,1,7,1,1800,60,,1,,"LINESTRING (-112.1005346 33.6400002, -112.1004591 33.6400007)",,22,21,1,0,
28009,12151,12351,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1005346 33.6400002, -112.1004588 33.6399691)",,22,21,2,0,
28208,12152,11954,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1004591 33.6400007, -112.1003840 33.6400328)",,22,21,2,0,
27812,12152,12153,,1,7,1,1800,60,,1,,"LINESTRING (-112.1004591 33.6400007, -112.1003837 33.6400012)",,22,21,1,0,
28010,12152,12352,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1004591 33.6400007, -112.1003833 33.6399697)",,22,21,2,0,
28209,12153,11955,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1003837 33.6400012, -112.1003085 33.6400333)",,22,21,2,0,
27813,12153,12154,,1,7,1,1800,60,,1,,"LINESTRING (-112.1003837 33.6400012, -112.1003082 33.6400017)",,22,21,1,0,
28011,12153,12353,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1003837 33.6400012, -112.1003079 33.6399702)",,22,21,2,0,
28210,12154,11956,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1003082 33.6400017, -112.1002331 33.6400338)",,22,21,2,0,
27814,12154,12155,,1,7,1,1800,60,,1,,"LINESTRING (-112.1003082 33.6400017, -112.1002327 33.6400023)",,22,21,1,0,
28012,12154,12354,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1003082 33.6400017, -112.1002324 33.6399707)",,22,21,2,0,
28211,12155,11957,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1002327 33.6400023, -112.1001576 33.6400344)",,22,21,2,0,
27815,12155,12156,,1,7,1,1800,60,,1,,"LINESTRING (-112.1002327 33.6400023, -112.1001573 33.6400028)",,22,21,1,0,
28013,12155,12355,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1002327 33.6400023, -112.1001570 33.6399712)",,22,21,2,0,
28212,12156,11958,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1001573 33.6400028, -112.1000821 33.6400349)",,22,21,2,0,
